X.chr	start	end	gene_id	gene.name	mean	percentile
chr6	128027885	128027886	ENSG00000227945.1	PTPRK-AS1	0.0577041850481084	0.998912291110452
chr14	106724092	106724093	ENSG00000211974.3	IGHV2-70D	0.0566564341535869	0.998763967170968
chr2	79025685	79025686	ENSG00000143954.12	REG3G	0.0566564341535869	0.998763967170968
chr14	106658257	106658258	ENSG00000223648.4	IGHV3-64	0.0555933121506897	0.998665084544646
chr7	142433894	142433895	ENSG00000241657.1	TRBV11-2	0.0555933121506897	0.998665084544646
chr20	257735	257736	ENSG00000186458.4	DEFB132	0.0545158107166503	0.998566201918323
chr19	50910737	50910738	ENSG00000167749.11	KLK4	0.0545158107166503	0.998566201918323
chr7	53862232	53862233	ENSG00000235454.1	HAUS6P3	0.0545158107166503	0.998566201918323
chrX	152479576	152479577	ENSG00000223940.1	KRT8P8	0.0539719666877645	0.998417877978839
chr6	87095405	87095406	ENSG00000135346.8	CGA	0.0539719666877645	0.998417877978839
chr2	90159839	90159840	ENSG00000278857.1	IGKV1D-12	0.0539719666877645	0.998417877978839
chr2	90100235	90100236	ENSG00000241244.1	IGKV1D-16	0.0539719666877645	0.998417877978839
chr11	59845500	59845501	ENSG00000134812.7	CBLIF	0.0534248818387549	0.998220112726194
chr10	46046268	46046269	ENSG00000263639.5	MSMB	0.0534248818387549	0.998220112726194
chr4	71804040	71804041	ENSG00000145321.12	GC	0.0534248818387549	0.998220112726194
chr4	69931080	69931081	ENSG00000126545.13	CSN1S1	0.0534248818387549	0.998220112726194
chr14	105601727	105601728	ENSG00000211891.5	IGHE	0.0528746693895369	0.998022347473549
chr9	976963	976964	ENSG00000064218.4	DMRT3	0.0528746693895369	0.998022347473549
chr8	85987322	85987323	ENSG00000147614.3	ATP6V0D2	0.0528746693895369	0.998022347473549
chr2	207662374	207662375	ENSG00000224137.1	LINC01857	0.0528746693895369	0.998022347473549
chr2	89160365	89160366	ENSG00000211611.2	IGKV6-21	0.0528746693895369	0.998022347473549
chr12	91005025	91005026	ENSG00000083782.7	EPYC	0.0523214403932783	0.997775140907743
chr2	222298146	222298147	ENSG00000163081.2	CCDC140	0.0523214403932783	0.997775140907743
chr19	54063952	54063953	ENSG00000189068.9	VSTM1	0.0517653038088708	0.99767625828142
chr14	95876391	95876392	ENSG00000250366.2	TUNAR	0.0517653038088708	0.99767625828142
chr12	91057982	91057983	ENSG00000139330.5	KERA	0.0517653038088708	0.99767625828142
chr2	241544843	241544844	ENSG00000234235.1	BOK-AS1	0.0517653038088708	0.99767625828142
chr14	105865457	105865458	ENSG00000211905.1	IGHJ1	0.0512063665713718	0.997478493028775
chr11	128180426	128180427	ENSG00000273415.1	LINC02725	0.0512063665713718	0.997478493028775
chr7	142349151	142349152	ENSG00000283063.1	TRBV6-2	0.0506447336605258	0.997379610402452
chr11	123058160	123058161	ENSG00000200879.1	SNORD14E	0.0500805081674723	0.997330169089291
chr22	22375985	22375986	ENSG00000211650.2	IGLV5-45	0.0495137913597428	0.99728072777613
chr13	48578087	48578088	ENSG00000233610.1	LINC00462	0.0495137913597428	0.99728072777613
chr7	130734060	130734061	ENSG00000266265.2	KLF14	0.0495137913597428	0.99728072777613
chr3	64187543	64187544	ENSG00000226017.2	PRICKLE2-AS3	0.0495137913597428	0.99728072777613
chr1	68449958	68449959	ENSG00000116745.6	RPE65	0.0495137913597428	0.99728072777613
chr19	39738027	39738028	ENSG00000105205.6	CLC	0.048944682744649	0.997033521210323
chr17	32112589	32112590	ENSG00000265574.1	WDR45BP1	0.048944682744649	0.997033521210323
chr6	29497508	29497509	ENSG00000229274.1	LINC02829	0.048944682744649	0.997033521210323
chr4	184899453	184899454	ENSG00000249173.5	LINC01093	0.048944682744649	0.997033521210323
chr2	89046465	89046466	ENSG00000253497.1	IGKV1-13	0.048944682744649	0.997033521210323
chr19	41706975	41706976	ENSG00000007306.14	CEACAM7	0.0483732801311574	0.996786314644517
chr15	76980450	76980451	ENSG00000259565.2	KRT8P23	0.0483732801311574	0.996786314644517
chr14	106771019	106771020	ENSG00000274576.2	IGHV2-70	0.0483732801311574	0.996786314644517
chr13	87671258	87671259	ENSG00000228824.6	MIR4500HG	0.0483732801311574	0.996786314644517
chr5	128109485	128109486	ENSG00000250329.1	KDELC1P1	0.0483732801311574	0.996786314644517
chr2	161244738	161244739	ENSG00000227403.1	LINC01806	0.0483732801311574	0.996786314644517
chr15	40351032	40351033	ENSG00000233041.8	PHGR1	0.0477996796903465	0.996489666765549
chr12	100578800	100578801	ENSG00000257803.2	PIGAP1	0.0477996796903465	0.996489666765549
chr7	143132076	143132077	ENSG00000159763.3	PIP	0.0477996796903465	0.996489666765549
chr5	39892137	39892138	ENSG00000250048.2	LINC00603	0.0477996796903465	0.996489666765549
chr2	201214651	201214652	ENSG00000225796.2	MTND4P23	0.0477996796903465	0.996489666765549
chr2	89234911	89234912	ENSG00000253998.3	IGKV2-29	0.0477996796903465	0.996489666765549
chrX	151716034	151716035	ENSG00000147378.11	FATE1	0.0472239760145385	0.996193018886582
chr22	22214793	22214794	ENSG00000211642.3	IGLV10-54	0.0472239760145385	0.996193018886582
chr6	28784003	28784004	ENSG00000235559.1	NOP56P1	0.0472239760145385	0.996193018886582
chr3	186612922	186612923	ENSG00000145192.12	AHSG	0.0472239760145385	0.996193018886582
chr2	90220726	90220727	ENSG00000239819.2	IGKV1D-8	0.0472239760145385	0.996193018886582
chr2	90172801	90172802	ENSG00000211632.4	IGKV3D-11	0.0472239760145385	0.996193018886582
chr2	90154072	90154073	ENSG00000276566.1	IGKV1D-13	0.0472239760145385	0.996193018886582
chr22	22734606	22734607	ENSG00000211664.2	IGLV2-18	0.0466462621751984	0.995846929694453
chr7	142308541	142308542	ENSG00000237702.2	TRBV3-1	0.0466462621751984	0.995846929694453
chr4	121764584	121764585	ENSG00000226757.2	PP12613	0.0466462621751984	0.995846929694453
chr17	45602339	45602340	ENSG00000263503.1	MAPK8IP1P2	0.0460666297796881	0.995698605754969
chr13	67267705	67267706	ENSG00000214263.2	RPSAP53	0.0460666297796881	0.995698605754969
chr19	54832675	54832676	ENSG00000221957.8	KIR2DS4	0.0454851690269654	0.995599723128646
chr3	65687300	65687301	ENSG00000244226.1	ILF2P1	0.0454851690269654	0.995599723128646
chr2	79159752	79159753	ENSG00000172016.15	REG3A	0.0454851690269654	0.995599723128646
chr1	174448110	174448111	ENSG00000203737.3	GPR52	0.0454851690269654	0.995599723128646
chrX	80709927	80709928	ENSG00000225715.1	PSMA1P1	0.0449019687623142	0.995401957876001
chr14	106301861	106301862	ENSG00000211951.2	IGHV2-26	0.0449019687623142	0.995401957876001
chr11	2161340	2161341	ENSG00000254647.6	INS	0.0449019687623142	0.995401957876001
chr10	79841357	79841358	ENSG00000228570.7	NUTM2E	0.0449019687623142	0.995401957876001
chr9	42852674	42852675	ENSG00000236816.2	ANKRD20A7P	0.0449019687623142	0.995401957876001
chr5	94826693	94826694	ENSG00000243806.1	RPL7P18	0.0449019687623142	0.995401957876001
chr3	151637173	151637174	ENSG00000241151.1	LINC02066	0.0449019687623142	0.995401957876001
chr2	216860063	216860064	ENSG00000118245.2	TNP1	0.0449019687623142	0.995401957876001
chr2	88979080	88979081	ENSG00000243063.1	IGKV3-7	0.0449019687623142	0.995401957876001
chrX	95974314	95974315	ENSG00000232842.2	KAT7P1	0.0443171165311955	0.99495698605755
chr19	50854914	50854915	ENSG00000142515.14	KLK3	0.0443171165311955	0.99495698605755
chr16	85282957	85282958	ENSG00000179219.5	LINC00311	0.0443171165311955	0.99495698605755
chr11	116823305	116823306	ENSG00000110244.6	APOA4	0.0443171165311955	0.99495698605755
chr10	132965288	132965289	ENSG00000232903.2	LINC01166	0.0443171165311955	0.99495698605755
chr7	38350021	38350022	ENSG00000211697.4	TRGV5	0.0443171165311955	0.99495698605755
chr3	64174400	64174401	ENSG00000239926.1	PRDX3P4	0.0443171165311955	0.99495698605755
chr3	46163603	46163604	ENSG00000183625.14	CCR3	0.0443171165311955	0.99495698605755
chr7	142450946	142450947	ENSG00000211721.2	TRBV6-5	0.0437306986323025	0.994561455552259
chr7	142300923	142300924	ENSG00000226660.2	TRBV2	0.0437306986323025	0.994561455552259
chr5	36071357	36071358	ENSG00000168671.9	UGT3A2	0.0437306986323025	0.994561455552259
chr4	121381058	121381059	ENSG00000186867.10	QRFPR	0.0437306986323025	0.994561455552259
chr2	89947511	89947512	ENSG00000243264.2	IGKV2D-29	0.0437306986323025	0.994561455552259
chr16	11281349	11281350	ENSG00000175646.3	PRM1	0.043142800169911	0.994314248986453
chr14	51328385	51328386	ENSG00000258955.1	LINC00519	0.043142800169911	0.994314248986453
chr14	21868838	21868839	ENSG00000211788.2	TRAV13-1	0.043142800169911	0.994314248986453
chr9	95085444	95085445	ENSG00000207864.3	MIR27B	0.043142800169911	0.994314248986453
chr9	3898641	3898642	ENSG00000237009.2	GLIS3-AS1	0.043142800169911	0.994314248986453
chr2	70790642	70790643	ENSG00000183733.6	FIGLA	0.043142800169911	0.994314248986453
chr14	106728614	106728615	ENSG00000282600.2	IGHV3-69-1	0.0425535051056089	0.994017601107485
chr14	105865249	105865250	ENSG00000211904.2	IGHJ2	0.0425535051056089	0.994017601107485
chr12	10909561	10909562	ENSG00000212128.2	TAS2R13	0.0425535051056089	0.994017601107485
chr7	101629295	101629296	ENSG00000106436.4	MYL10	0.0425535051056089	0.994017601107485
chr4	140568804	140568805	ENSG00000109424.3	UCP1	0.0425535051056089	0.994017601107485
chr14	55796687	55796688	ENSG00000258791.7	LINC00520	0.0419628963094966	0.993770394541679
chr6	29487955	29487956	ENSG00000204687.4	MAS1L	0.0419628963094966	0.993770394541679
chr2	131279289	131279290	ENSG00000231431.7	FAR2P4	0.0419628963094966	0.993770394541679
chr1	205373251	205373252	ENSG00000226235.1	LEMD1-AS1	0.0419628963094966	0.993770394541679
chr1	100941994	100941995	ENSG00000230946.3	HNRNPA1P68	0.0419628963094966	0.993770394541679
chr1	44118849	44118850	ENSG00000171872.4	KLF17	0.0419628963094966	0.993770394541679
chr22	22819009	22819010	ENSG00000211670.2	IGLV3-9	0.0413710556109461	0.993473746662711
chr22	22431957	22431958	ENSG00000211655.3	IGLV1-36	0.0413710556109461	0.993473746662711
chr18	63661962	63661963	ENSG00000057149.15	SERPINB3	0.0413710556109461	0.993473746662711
chr17	77199542	77199543	ENSG00000262870.1	CYCSP40	0.0413710556109461	0.993473746662711
chr17	60245646	60245647	ENSG00000241157.1	RPL32P32	0.0413710556109461	0.993473746662711
chr17	20754500	20754501	ENSG00000187870.7	RNFT1P3	0.0413710556109461	0.993473746662711
chr14	106130071	106130072	ENSG00000211942.3	IGHV3-13	0.0413710556109461	0.993473746662711
chr14	103084209	103084210	ENSG00000283071.1	LBHD2	0.0413710556109461	0.993473746662711
chr12	102957685	102957686	ENSG00000139352.3	ASCL1	0.0413710556109461	0.993473746662711
chr12	11092312	11092313	ENSG00000255374.3	TAS2R43	0.0413710556109461	0.993473746662711
chr2	97637802	97637803	ENSG00000228970.6	UBTFL6	0.0413710556109461	0.993473746662711
chr1	161685251	161685252	ENSG00000213075.7	RPL31P11	0.0413710556109461	0.993473746662711
chr1	9654585	9654586	ENSG00000179840.5	PIK3CD-AS1	0.0413710556109461	0.993473746662711
chrX	22172982	22172983	ENSG00000224204.1	PHEX-AS1	0.0407780638490115	0.992831009591615
chr15	30103719	30103720	ENSG00000178081.12	ULK4P3	0.0407780638490115	0.992831009591615
chr12	68159746	68159747	ENSG00000111537.4	IFNG	0.0407780638490115	0.992831009591615
chr10	27414367	27414368	ENSG00000182077.10	PTCHD3	0.0407780638490115	0.992831009591615
chr8	127948722	127948723	ENSG00000280055.1	TMEM75	0.0407780638490115	0.992831009591615
chr7	78347141	78347142	ENSG00000231322.5	RPL13AP17	0.0407780638490115	0.992831009591615
chr4	14111967	14111968	ENSG00000248698.5	LINC01085	0.0407780638490115	0.992831009591615
chr2	241902550	241902551	ENSG00000216921.7	FAM240C	0.0407780638490115	0.992831009591615
chr2	90114837	90114838	ENSG00000224041.3	IGKV3D-15	0.0407780638490115	0.992831009591615
chr2	74940257	74940258	ENSG00000230836.1	LINC01293	0.0407780638490115	0.992831009591615
chrX	132128019	132128020	ENSG00000165694.9	FRMD7	0.0401840009225838	0.992336596460002
chr17	66256524	66256525	ENSG00000091583.10	APOH	0.0401840009225838	0.992336596460002
chr17	34270220	34270221	ENSG00000108688.11	CCL7	0.0401840009225838	0.992336596460002
chr14	21736151	21736152	ENSG00000211778.2	TRAV4	0.0401840009225838	0.992336596460002
chr13	83882392	83882393	ENSG00000178235.7	SLITRK1	0.0401840009225838	0.992336596460002
chr6	2636935	2636936	ENSG00000228718.1	LINC02521	0.0401840009225838	0.992336596460002
chr5	180988844	180988845	ENSG00000168903.8	BTNL3	0.0401840009225838	0.992336596460002
chr5	146707599	146707600	ENSG00000248568.1	KRT8P48	0.0401840009225838	0.992336596460002
chr1	116775622	116775623	ENSG00000225079.2	FTH1P22	0.0401840009225838	0.992336596460002
chr1	17189782	17189783	ENSG00000204362.6	LINC02783	0.0401840009225838	0.992336596460002
chr1	7853511	7853512	ENSG00000049247.13	UTS2	0.0401840009225838	0.992336596460002
chr22	32203476	32203477	ENSG00000128253.13	RFPL2	0.0395889458403876	0.991792742015228
chr22	22395017	22395018	ENSG00000211652.2	IGLV7-43	0.0395889458403876	0.991792742015228
chr19	39204265	39204266	ENSG00000179751.6	SYCN	0.0395889458403876	0.991792742015228
chr16	165977	165978	ENSG00000206177.6	HBM	0.0395889458403876	0.991792742015228
chr8	28316985	28316986	ENSG00000168081.8	PNOC	0.0395889458403876	0.991792742015228
chr8	7018300	7018301	ENSG00000239839.6	DEFA3	0.0395889458403876	0.991792742015228
chr7	142720659	142720660	ENSG00000211753.4	TRBV28	0.0395889458403876	0.991792742015228
chr7	142645960	142645961	ENSG00000211749.1	TRBV23-1	0.0395889458403876	0.991792742015228
chr4	87799580	87799581	ENSG00000029559.6	IBSP	0.0395889458403876	0.991792742015228
chr2	235505750	235505751	ENSG00000235529.1	AGAP1-IT1	0.0395889458403876	0.991792742015228
chr2	88992930	88992931	ENSG00000240671.4	IGKV1-8	0.0395889458403876	0.991792742015228
chr1	158454197	158454198	ENSG00000236257.1	EI24P2	0.0395889458403876	0.991792742015228
chr1	158331530	158331531	ENSG00000158485.10	CD1B	0.0395889458403876	0.991792742015228
chr6	118501429	118501430	ENSG00000169075.7	BRD7P3	0.0389929767709186	0.991150004944131
chr6	42915988	42915989	ENSG00000171611.9	PTCRA	0.0389929767709186	0.991150004944131
chr2	11670163	11670164	ENSG00000169006.6	NTSR2	0.0389929767709186	0.991150004944131
chrX	118634217	118634218	ENSG00000230399.1	RBBP8P1	0.0383961710924255	0.991001681004647
chr22	22224565	22224566	ENSG00000228050.1	TOP3BP1	0.0383961710924255	0.991001681004647
chr14	40954897	40954898	ENSG00000251363.2	LINC02315	0.0383961710924255	0.991001681004647
chr13	24680410	24680411	ENSG00000075673.11	ATP12A	0.0383961710924255	0.991001681004647
chr12	71850427	71850428	ENSG00000257802.1	MRS2P2	0.0383961710924255	0.991001681004647
chr6	167997076	167997077	ENSG00000229921.6	KIF25-AS1	0.0383961710924255	0.991001681004647
chr4	24659855	24659856	ENSG00000261121.1	LINC02473	0.0383961710924255	0.991001681004647
chr1	179743162	179743163	ENSG00000143340.6	FAM163A	0.0383961710924255	0.991001681004647
chr22	45284981	45284982	ENSG00000100373.9	UPK3A	0.0377986054430438	0.990606150499357
chr19	54816467	54816468	ENSG00000167633.18	KIR3DL1	0.0377986054430438	0.990606150499357
chr17	48614938	48614939	ENSG00000120068.6	HOXB8	0.0377986054430438	0.990606150499357
chr14	106715180	106715181	ENSG00000211973.2	IGHV1-69	0.0377986054430438	0.990606150499357
chr14	106675543	106675544	ENSG00000211972.2	IGHV3-66	0.0377986054430438	0.990606150499357
chr11	61203379	61203380	ENSG00000229859.9	PGA3	0.0377986054430438	0.990606150499357
chr11	4474812	4474813	ENSG00000225101.4	OR52K3P	0.0377986054430438	0.990606150499357
chr7	142715345	142715346	ENSG00000211752.3	TRBV27	0.0377986054430438	0.990606150499357
chr7	82009176	82009177	ENSG00000223770.5	CACNA2D1-AS1	0.0377986054430438	0.990606150499357
chr6	22297500	22297501	ENSG00000172179.11	PRL	0.0377986054430438	0.990606150499357
chr5	71719162	71719163	ENSG00000164326.4	CARTPT	0.0377986054430438	0.990606150499357
chr1	206023908	206023909	ENSG00000196188.10	CTSE	0.0377986054430438	0.990606150499357
chr1	108284239	108284240	ENSG00000241361.8	SLC25A24P1	0.0377986054430438	0.990606150499357
chr22	35898403	35898404	ENSG00000237406.1	NDUFA9P1	0.0372003557711957	0.989963413428261
chr19	47886396	47886397	ENSG00000105398.3	SULT2A1	0.0372003557711957	0.989963413428261
chr13	113658185	113658186	ENSG00000186009.4	ATP4B	0.0372003557711957	0.989963413428261
chr12	52341196	52341197	ENSG00000274928.6	KRT89P	0.0372003557711957	0.989963413428261
chr11	64935887	64935888	ENSG00000149735.6	GPHA2	0.0372003557711957	0.989963413428261
chr10	116590384	116590385	ENSG00000187021.14	PNLIPRP1	0.0372003557711957	0.989963413428261
chr9	35507563	35507564	ENSG00000235619.1	RPL36AP33	0.0372003557711957	0.989963413428261
chr9	32783498	32783499	ENSG00000188133.5	TMEM215	0.0372003557711957	0.989963413428261
chr5	119128443	119128444	ENSG00000248885.1	SEPTIN7P10	0.0372003557711957	0.989963413428261
chr4	69526013	69526014	ENSG00000156096.13	UGT2B4	0.0372003557711957	0.989963413428261
chr3	72151256	72151257	ENSG00000243083.5	LINC00870	0.0372003557711957	0.989963413428261
chr1	238486022	238486023	ENSG00000215808.2	LINC01139	0.0372003557711957	0.989963413428261
chr1	157898255	157898256	ENSG00000073754.5	CD5L	0.0372003557711957	0.989963413428261
chr1	155941709	155941710	ENSG00000173080.5	RXFP4	0.0372003557711957	0.989963413428261
chr19	50649444	50649445	ENSG00000235034.6	C19orf81	0.036601497386374	0.989271235044003
chr19	21678220	21678221	ENSG00000268433.1	MTDHP3	0.036601497386374	0.989271235044003
chr16	180452	180453	ENSG00000086506.2	HBQ1	0.036601497386374	0.989271235044003
chr14	106108463	106108464	ENSG00000282651.2	IGHV5-10-1	0.036601497386374	0.989271235044003
chr10	51319825	51319826	ENSG00000213659.4	RSU1P3	0.036601497386374	0.989271235044003
chr5	135452398	135452399	ENSG00000255833.1	TIFAB	0.036601497386374	0.989271235044003
chr4	188400735	188400736	ENSG00000249378.5	LINC01060	0.036601497386374	0.989271235044003
chr4	9781679	9781680	ENSG00000169676.5	DRD5	0.036601497386374	0.989271235044003
chr3	160515235	160515236	ENSG00000238741.1	SCARNA7	0.036601497386374	0.989271235044003
chr1	56538451	56538452	ENSG00000236776.1	RPL21P23	0.036601497386374	0.989271235044003
chrX	70908730	70908731	ENSG00000120498.13	TEX11	0.0360021050104341	0.98877682191239
chr22	36819478	36819479	ENSG00000100362.12	PVALB	0.0360021050104341	0.98877682191239
chr22	22922593	22922594	ENSG00000211685.3	IGLC7	0.0360021050104341	0.98877682191239
chr19	50861567	50861568	ENSG00000167751.12	KLK2	0.0360021050104341	0.98877682191239
chr19	39679373	39679374	ENSG00000226025.9	LGALS17A	0.0360021050104341	0.98877682191239
chr17	19061911	19061912	ENSG00000265185.5	SNORD3B-1	0.0360021050104341	0.98877682191239
chr16	11276479	11276480	ENSG00000122304.10	PRM2	0.0360021050104341	0.98877682191239
chr14	21846536	21846537	ENSG00000211786.3	TRAV8-2	0.0360021050104341	0.98877682191239
chr12	80707497	80707498	ENSG00000111046.3	MYF6	0.0360021050104341	0.98877682191239
chr10	102241473	102241474	ENSG00000107859.9	PITX3	0.0360021050104341	0.98877682191239
chr7	124033022	124033023	ENSG00000234224.2	TMEM229A	0.0360021050104341	0.98877682191239
chr4	55636697	55636698	ENSG00000109255.11	NMU	0.0360021050104341	0.98877682191239
chr1	179968685	179968686	ENSG00000235145.2	RPSAP16	0.0360021050104341	0.98877682191239
chr1	108450281	108450282	ENSG00000186086.18	NBPF6	0.0360021050104341	0.98877682191239
chr1	79056054	79056055	ENSG00000230787.1	PSAT1P3	0.0360021050104341	0.98877682191239
chr16	85112507	85112508	ENSG00000153789.12	CIBAR2	0.0354022528295308	0.988035202214971
chr15	66279042	66279043	ENSG00000261318.1	DIS3L-AS1	0.0354022528295308	0.988035202214971
chr13	60274775	60274776	ENSG00000238213.1	TARDBPP2	0.0354022528295308	0.988035202214971
chr12	34209674	34209675	ENSG00000258794.3	DUX4L27	0.0354022528295308	0.988035202214971
chr10	94137747	94137748	ENSG00000234724.1	HDAC1P1	0.0354022528295308	0.988035202214971
chr10	5271235	5271236	ENSG00000224034.1	LINC02561	0.0354022528295308	0.988035202214971
chr6	151319634	151319635	ENSG00000223039.1	RN7SKP268	0.0354022528295308	0.988035202214971
chr1	26960405	26960406	ENSG00000175707.8	KDF1	0.0354022528295308	0.988035202214971
chr22	22369613	22369614	ENSG00000211649.3	IGLV7-46	0.0348020145468371	0.987639671709681
chr20	23132620	23132621	ENSG00000233746.1	LINC00656	0.0348020145468371	0.987639671709681
chr17	40721931	40721932	ENSG00000229028.2	KRT223P	0.0348020145468371	0.987639671709681
chr16	31527863	31527864	ENSG00000169877.9	AHSP	0.0348020145468371	0.987639671709681
chr15	77641763	77641764	ENSG00000259666.2	LINGO1-AS1	0.0348020145468371	0.987639671709681
chr14	103189027	103189028	ENSG00000251533.2	LINC00605	0.0348020145468371	0.987639671709681
chr14	21887856	21887857	ENSG00000211789.2	TRAV12-2	0.0348020145468371	0.987639671709681
chr12	10553362	10553363	ENSG00000256039.1	LINC02446	0.0348020145468371	0.987639671709681
chr10	94938657	94938658	ENSG00000138109.9	CYP2C9	0.0348020145468371	0.987639671709681
chr7	129502478	129502479	ENSG00000240204.2	SMKR1	0.0348020145468371	0.987639671709681
chr6	134437715	134437716	ENSG00000236700.5	LINC01010	0.0348020145468371	0.987639671709681
chr6	55106459	55106460	ENSG00000137252.9	HCRTR2	0.0348020145468371	0.987639671709681
chr5	140786135	140786136	ENSG00000204970.9	PCDHA1	0.0348020145468371	0.987639671709681
chr4	49506021	49506022	ENSG00000251056.1	ANKRD20A17P	0.0348020145468371	0.987639671709681
chr3	170495626	170495627	ENSG00000241416.1	KRT8P13	0.0348020145468371	0.987639671709681
chr3	114351878	114351879	ENSG00000241560.5	ZBTB20-AS1	0.0348020145468371	0.987639671709681
chr1	173050962	173050963	ENSG00000120337.8	TNFSF18	0.0348020145468371	0.987639671709681
chr1	53368244	53368245	ENSG00000230138.1	LINC02812	0.0348020145468371	0.987639671709681
chr17	4301371	4301372	ENSG00000261868.1	MFSD1P1	0.0342014634362003	0.986749728072778
chr16	58421325	58421326	ENSG00000260186.5	LINC02137	0.0342014634362003	0.986749728072778
chr13	42562735	42562736	ENSG00000120659.14	TNFSF11	0.0342014634362003	0.986749728072778
chr12	31887202	31887203	ENSG00000255760.1	LINC02422	0.0342014634362003	0.986749728072778
chr10	132522448	132522449	ENSG00000229081.1	LINC01165	0.0342014634362003	0.986749728072778
chr9	92110868	92110869	ENSG00000227321.2	MTND4P15	0.0342014634362003	0.986749728072778
chr8	17002180	17002181	ENSG00000078579.8	FGF20	0.0342014634362003	0.986749728072778
chr6	53998889	53998890	ENSG00000236996.1	MLIP-IT1	0.0342014634362003	0.986749728072778
chr4	74308472	74308473	ENSG00000182585.9	EPGN	0.0342014634362003	0.986749728072778
chr4	57072682	57072683	ENSG00000250384.1	UBE2CP3	0.0342014634362003	0.986749728072778
chr2	143656178	143656179	ENSG00000231758.2	ARHGAP15-AS1	0.0342014634362003	0.986749728072778
chr2	73293704	73293705	ENSG00000135625.7	EGR4	0.0342014634362003	0.986749728072778
chr1	182400615	182400616	ENSG00000203730.2	TEDDM1	0.0342014634362003	0.986749728072778
chr22	22899480	22899481	ENSG00000211676.2	IGLJ2	0.0336006723968969	0.986106991001681
chr19	54850442	54850443	ENSG00000240403.5	KIR3DL2	0.0336006723968969	0.986106991001681
chr19	51390573	51390574	ENSG00000262874.1	C19orf84	0.0336006723968969	0.986106991001681
chr16	69033674	69033675	ENSG00000244378.1	RPS2P45	0.0336006723968969	0.986106991001681
chr6	85390185	85390186	ENSG00000234155.1	LINC02535	0.0336006723968969	0.986106991001681
chr2	203040107	203040108	ENSG00000232994.1	RPL7P14	0.0336006723968969	0.986106991001681
chr1	209744372	209744373	ENSG00000236136.1	ADORA2BP1	0.0336006723968969	0.986106991001681
chr1	108244080	108244081	ENSG00000196427.13	NBPF4	0.0336006723968969	0.986106991001681
chr15	76261689	76261690	ENSG00000259581.3	TYRO3P	0.032999714009658	0.985711460496391
chr13	40618737	40618738	ENSG00000229456.1	RLIMP1	0.032999714009658	0.985711460496391
chr9	92109012	92109013	ENSG00000228069.1	MTCO3P29	0.032999714009658	0.985711460496391
chr8	40897832	40897833	ENSG00000165061.14	ZMAT4	0.032999714009658	0.985711460496391
chr7	38363517	38363518	ENSG00000233306.2	TRGV2	0.032999714009658	0.985711460496391
chr6	43999507	43999508	ENSG00000237686.6	SCIRT	0.032999714009658	0.985711460496391
chr5	154478263	154478264	ENSG00000113196.2	HAND1	0.032999714009658	0.985711460496391
chr5	117925007	117925008	ENSG00000249797.1	LINC02147	0.032999714009658	0.985711460496391
chr3	111633671	111633672	ENSG00000244720.1	NT5C3AP2	0.032999714009658	0.985711460496391
